maxtempC,mintempC,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindGustKmph,humidity,pressure,tempC,visibility,winddirDegree,windspeedKmph,PortlandRain,precipMM
17,17,11.5,3,16,0,8,10,33,50,1014,17,10,121,20,0,0
10,10,10.2,3,9,3,6,7,13,72,1008,10,10,159,8,0,1
7,7,10.2,1,2,-1,2,4,11,72,1009,7,10,286,7,0,1
7,7,11.6,2,0,-2,0,4,25,64,1010,7,9,124,16,0,1
5,5,6,1,0,-1,1,3,8,76,1010,5,9,172,6,0,1
6,6,10.2,2,5,-3,1,3,11,67,1019,6,9,232,8,0,1
9,9,8.8,1,13,-4,2,4,15,55,1023,9,10,120,8,0,1
9,9,10.2,2,20,-2,3,5,14,62,1019,9,9,111,8,0,1
12,12,10.2,3,27,1,4,7,31,64,1011,12,9,119,19,0,1
12,12,6.3,2,34,5,7,9,31,77,1006,12,9,145,18,0,1
9,9,11.6,3,42,-2,5,6,7,60,1013,9,10,136,5,0,1
6,6,11.6,2,49,-7,2,4,18,45,1012,6,10,220,11,1,1
4,4,9,1,56,-3,0,2,9,71,1015,4,9,211,6,1,1
6,6,11.6,2,63,-6,-2,1,17,63,1025,6,10,324,11,1,0
11,11,11.6,3,71,-3,4,5,12,55,1026,11,10,171,8,0,0
12,12,11.6,3,78,0,5,7,23,63,1023,12,10,322,15,0,0
12,12,11.6,3,85,-2,5,7,17,53,1023,12,10,283,10,0,0
16,16,7.7,2,93,-1,9,10,13,51,1019,16,10,162,8,0,0
13,13,7.7,2,96,1,8,9,14,57,1017,13,10,320,10,0,1
13,13,10.3,3,89,0,7,8,10,59,1013,13,9,230,6,0,1
10,10,11.6,2,81,-5,0,4,33,52,1012,10,10,306,25,0,1
9,9,9,2,74,-9,1,4,18,39,1021,9,10,113,12,1,0
13,13,11.6,3,66,-3,7,9,13,46,1016,13,10,168,8,0,1
14,14,7.8,3,59,3,9,10,9,65,1015,14,9,147,5,0,1
14,14,11.6,4,51,5,10,10,7,73,1010,14,10,247,5,0,1
15,15,10.3,3,44,5,9,11,33,67,1005,15,9,180,21,0,1
10,10,9.1,2,36,1,6,8,21,64,1015,10,10,262,15,0,1
14,14,11.6,3,28,0,7,8,7,63,1024,14,10,94,4,1,0
20,20,7.8,3,21,1,11,12,24,48,1015,20,9,150,14,1,1
15,15,9.1,4,13,3,10,10,13,63,1009,15,10,169,8,0,1
9,9,9.1,1,6,-2,0,5,34,62,1009,9,8,298,25,0,1
10,10,11.6,2,0,-3,2,4,17,58,1028,10,10,276,11,0,0
13,13,7.9,2,0,0,8,9,10,56,1024,13,9,145,6,1,1
18,18,10.4,3,0,2,11,12,20,50,1009,18,9,123,13,1,1
10,10,11.6,2,1,-1,5,7,16,59,1006,10,9,302,12,1,1
9,9,11.6,2,9,-6,1,4,19,50,1020,9,10,271,14,1,1
14,14,9.2,3,17,-6,5,8,21,40,1020,14,10,103,13,1,0
16,16,10.4,3,24,0,9,10,21,49,1014,16,10,209,14,0,0
17,17,11.6,4,32,1,9,11,26,51,1019,17,10,318,17,0,0
18,18,11.6,4,39,1,13,13,14,45,1019,18,10,140,10,0,0
16,16,11.6,4,47,0,9,10,19,48,1019,16,10,316,13,0,0
15,15,11.6,3,54,-2,7,9,23,50,1022,15,10,308,16,0,0
18,18,11.6,4,62,-1,10,11,16,44,1025,18,10,145,10,0,0
21,21,11.6,4,69,0,13,14,17,40,1020,21,10,187,10,0,0
24,24,11.6,5,77,2,16,16,13,38,1018,24,10,119,8,0,0
28,28,11.6,5,85,2,19,18,21,34,1009,28,10,135,13,0,1
16,16,11.6,4,92,3,13,14,19,51,1008,16,10,285,13,0,1
13,13,11.6,3,100,1,7,9,18,60,1011,13,10,310,13,0,1
14,14,11.6,3,100,1,5,8,27,60,1013,14,10,323,19,1,1
14,14,11.6,3,89,1,7,9,21,59,1012,14,10,321,15,1,1
17,17,11.6,4,82,1,10,10,15,57,1014,17,10,295,10,0,0
20,20,11.6,4,75,2,13,13,11,50,1018,20,10,199,8,0,0
25,25,11.6,5,68,3,17,18,9,41,1020,25,10,91,5,0,0
25,25,11.6,5,60,5,19,19,10,41,1017,25,10,114,6,0,0
25,25,11.6,5,53,5,19,19,15,42,1013,25,10,212,10,0,0
22,22,11.6,5,46,5,16,17,15,50,1018,22,10,330,10,0,0
26,26,10.5,5,39,5,18,18,8,44,1017,26,10,97,5,0,0
24,24,11.6,5,31,8,18,19,14,53,1012,24,10,271,9,0,1
17,17,11.6,4,24,6,13,14,21,60,1012,17,10,320,15,0,1
14,14,9.4,3,17,2,6,9,27,62,1013,14,10,323,20,0,1
16,16,13.4,4,9,4,10,11,14,62,1011,16,10,261,9,1,1
16,16,12.4,3,2,6,11,11,10,73,1014,16,8,186,7,0,1
22,22,14.5,5,0,4,15,15,11,52,1016,22,10,200,7,0,0
22,22,14.5,5,0,6,17,18,14,49,1013,22,10,116,9,0,1
22,22,14.5,5,5,6,16,17,15,51,1012,22,10,170,9,0,0
19,19,14.5,4,12,8,14,15,13,67,1011,19,10,327,9,0,1
20,20,14.5,4,19,9,15,15,13,66,1011,20,10,278,8,0,1
23,23,14.5,5,27,5,16,17,10,51,1012,23,10,165,6,0,0
21,21,12.4,4,34,7,17,17,10,54,1011,21,10,201,6,0,1
22,22,14.5,5,41,9,16,17,11,65,1011,22,10,318,7,0,1
24,24,14.5,5,48,9,18,18,7,59,1010,24,10,245,4,0,1
24,24,14.5,5,56,9,19,19,11,55,1009,24,10,178,7,0,1
26,26,14.5,5,63,9,20,20,9,54,1014,26,10,148,5,0,1
27,27,14.5,6,70,8,21,20,13,48,1009,27,10,216,8,0,1
21,21,14.5,5,78,10,16,16,19,68,1010,21,10,159,14,0,1
25,25,14.5,5,85,8,16,17,22,58,1013,25,10,312,15,0,1
25,25,14.5,4,92,10,18,18,15,60,1014,25,10,306,10,0,1
26,26,14.5,5,99,6,19,19,12,45,1011,26,10,262,8,0,0
23,23,14.5,5,100,7,17,18,12,51,1005,23,10,275,8,0,0
21,21,14.5,5,89,8,15,16,13,64,1005,21,10,274,9,0,1
18,18,14.5,4,74,2,11,12,17,53,1018,18,10,276,12,0,0
25,25,14.5,5,67,1,17,17,11,36,1022,25,10,160,6,1,0
30,30,14.5,6,59,4,22,21,16,33,1015,30,10,124,11,0,0
27,27,14.5,6,52,7,21,21,15,42,1009,27,10,298,10,0,0
25,25,14.5,5,44,5,18,19,18,44,1010,25,10,278,12,0,0
29,29,14.5,6,36,5,21,20,13,36,1009,29,10,256,8,0,0
27,27,14.5,6,29,7,21,21,10,42,1008,27,10,251,7,0,1
28,28,14.5,6,21,9,21,21,8,52,1012,28,10,221,5,0,1
22,22,13.5,5,14,8,17,18,19,54,1008,22,10,275,12,0,1
15,15,14.5,4,6,-1,9,10,18,50,1016,15,10,266,12,0,0
18,18,14.5,4,0,0,13,14,16,38,1016,18,10,221,12,1,1
25,25,14.5,5,0,-3,16,16,8,30,1017,25,10,117,4,1,0
30,30,14.5,6,0,1,22,21,12,26,1008,30,10,156,7,0,0
21,21,13.5,5,1,4,16,17,24,44,1010,21,10,317,16,0,0
23,23,12.5,5,9,2,17,18,10,37,1007,23,10,253,7,0,0
22,22,14.5,5,16,4,16,17,10,47,1006,22,10,285,7,0,1
16,16,10.5,3,24,7,12,13,14,69,1009,16,10,314,10,0,1
20,20,14.5,4,31,9,15,15,9,69,1013,20,10,221,6,0,1
22,22,14.5,5,39,9,17,18,10,62,1017,22,10,307,7,0,1
27,27,14.5,6,46,9,21,21,10,50,1017,27,10,105,6,0,0
25,25,14.5,5,54,9,20,20,18,53,1015,25,10,247,12,0,1
28,28,14.5,6,61,8,21,21,10,47,1015,28,10,174,6,0,0
23,23,14.5,5,69,6,19,19,26,46,1013,23,10,307,18,0,0
27,27,14.5,5,77,6,19,20,9,45,1016,27,10,238,6,0,0
31,31,14.5,6,84,7,24,24,22,34,1010,31,10,200,14,0,0
25,25,14.5,5,92,3,19,19,22,37,1014,25,10,319,15,0,0
31,31,14.5,6,99,2,22,21,9,28,1010,31,10,198,5,0,0
24,24,14.5,6,100,5,20,20,26,36,1008,24,10,315,18,0,0
23,23,14.5,5,86,5,17,17,22,45,1014,23,10,313,15,0,0
25,25,14.5,5,78,5,18,18,16,44,1018,25,10,238,10,0,0
26,26,14.5,5,75,6,20,20,15,42,1016,26,10,246,11,0,0
24,24,14.5,5,68,1,19,19,22,33,1014,24,10,321,15,0,0
21,21,14.5,5,61,0,14,15,23,36,1015,21,10,310,15,0,0
32,32,14.5,6,54,1,21,20,12,28,1015,32,10,125,8,0,0
36,36,14.5,7,46,3,26,26,12,25,1015,36,10,166,8,0,0
31,31,14.5,7,39,2,24,24,14,23,1019,31,10,282,10,0,0
32,32,14.5,6,32,6,24,24,14,30,1016,32,10,179,9,0,0
34,34,14.5,7,24,6,25,25,13,30,1014,34,10,237,8,0,0
36,36,14.5,7,17,4,26,26,11,25,1014,36,10,167,7,0,0
29,29,14.5,6,10,5,24,24,21,29,1015,29,10,279,14,0,0
29,29,14.5,6,3,5,22,22,17,34,1016,29,10,267,12,0,0
31,31,14.5,6,0,5,22,22,16,33,1015,31,10,275,10,0,0
34,34,14.5,7,0,4,25,25,11,27,1015,34,10,216,7,0,0
34,34,14.5,7,4,3,26,26,15,22,1015,34,10,216,10,0,0
35,35,14.5,7,12,4,25,25,15,24,1015,35,10,283,10,0,1
34,34,14.5,7,19,5,26,26,12,27,1015,34,10,235,8,0,1
34,34,14.5,7,26,5,25,25,10,28,1016,34,10,183,7,0,0
34,34,14.5,7,34,2,26,26,16,22,1015,34,10,198,10,0,0
33,33,14.5,7,41,2,24,24,14,22,1015,33,10,332,9,0,0
33,33,14.5,7,48,1,24,24,11,21,1012,33,10,220,8,0,0
32,32,14.5,6,55,-1,24,24,14,20,1012,32,10,277,10,0,0
31,31,14.5,6,63,-1,23,23,19,21,1018,31,10,324,13,0,0
35,35,14.5,7,70,-1,25,25,9,18,1018,35,10,198,6,0,0
35,35,14.5,7,77,5,27,27,10,23,1016,35,10,219,7,0,1
35,35,14.5,7,84,5,27,27,15,25,1017,35,10,277,10,0,1
34,34,14.5,7,92,3,26,26,13,23,1017,34,10,207,9,0,0
34,34,14.5,7,99,1,26,26,14,19,1014,34,10,253,9,0,0
33,33,14.5,7,100,2,25,25,13,22,1013,33,10,193,9,0,0
34,34,14.5,7,86,2,25,25,12,22,1016,34,10,232,8,0,0
35,35,14.5,7,79,3,26,26,10,22,1017,35,10,168,7,0,0
36,36,13.4,7,75,3,28,28,13,19,1013,36,10,119,8,0,1
35,35,14.5,7,65,5,28,28,10,23,1011,35,10,217,7,0,1
32,32,14.5,7,57,3,25,25,13,24,1011,32,10,289,9,0,0
28,28,14.5,6,50,0,22,22,17,23,1012,28,10,282,12,0,0
28,28,14.5,6,43,2,21,21,18,29,1012,28,10,283,11,0,0
29,29,14.5,6,36,1,22,21,15,27,1014,29,10,319,10,0,0
31,31,14.5,6,28,2,23,23,12,25,1017,31,10,170,7,0,0
33,33,14.5,7,21,2,25,25,14,23,1015,33,10,206,10,0,0
36,36,11.6,7,14,2,27,27,11,21,1014,36,10,164,7,0,0
38,38,11.6,7,6,2,28,28,11,18,1014,38,10,155,7,0,0
40,40,11.6,8,0,0,30,30,16,14,1012,40,10,169,10,0,0
37,37,11.6,8,0,1,29,29,13,16,1011,37,10,233,8,0,1
29,29,11.6,6,1,3,23,23,23,29,1014,29,10,316,15,0,1
32,32,11.6,6,8,0,23,23,17,22,1014,32,10,324,11,0,0
32,32,11.6,6,15,-1,23,23,14,21,1012,32,10,288,9,0,0
34,34,11.6,7,22,-3,25,25,12,15,1012,34,10,164,7,0,0
34,34,11.6,7,30,2,26,26,10,21,1014,34,10,193,6,0,0
32,32,11.6,7,37,5,26,26,15,27,1016,32,10,191,9,0,1
30,30,11.6,6,44,2,23,23,13,28,1018,30,10,319,9,0,0
33,33,11.6,6,51,3,24,24,15,26,1015,33,10,130,10,0,0
31,31,11.6,6,59,3,23,23,18,27,1011,31,10,257,13,0,0
26,26,11.6,5,66,5,20,20,15,40,1016,26,10,318,9,0,0
29,29,11.6,6,73,6,21,21,11,38,1014,29,10,171,7,0,1
29,29,11.6,6,81,3,22,22,10,29,1013,29,10,151,6,0,0
27,27,11.6,6,88,2,21,21,16,28,1011,27,10,217,11,0,0
27,27,11.6,6,95,0,20,20,15,28,1012,27,10,317,9,0,0
22,22,10.4,5,100,3,17,18,18,40,1011,22,10,319,12,0,1
19,19,11.6,4,100,6,14,15,19,55,1013,19,9,325,13,0,1
23,23,11.6,5,83,2,15,15,9,45,1018,23,10,241,5,0,0
28,28,11.6,5,76,1,19,19,11,33,1014,28,10,133,7,0,0
28,28,11.6,6,69,1,22,21,17,26,1011,28,10,240,11,0,1
24,24,11.6,5,65,4,19,19,21,40,1014,24,10,315,13,0,0
25,25,11.6,5,48,0,18,18,12,32,1014,25,10,290,8,0,0
26,26,11.6,5,41,-2,19,19,11,26,1014,26,10,337,8,0,0
28,28,11.6,6,33,-2,21,20,12,23,1013,28,10,176,8,0,0
29,29,11.6,6,26,2,21,21,14,31,1013,29,10,318,9,0,0
33,33,11.6,6,18,0,22,22,7,23,1014,33,10,85,5,0,0
